Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,23,2024-01-11,31-294,DAL,,NYK,W (+4),1,39:31,15,26,.577,6,10,.600,8,9,.889,0,4,4,10,2,0,5,3,44,35.4,+9
40,24,2024-01-13,31-296,DAL,,NOP,L (-10),1,40:19,12,27,.444,5,14,.357,4,4,1.000,0,5,5,6,1,0,1,2,33,23.8,-8
41,25,2024-01-15,31-298,DAL,,NOP,W (+5),1,41:24,13,28,.464,3,9,.333,13,15,.867,0,7,7,7,0,1,3,1,42,31.1,+7
42,26,2024-01-17,31-300,DAL,@,LAL,L (-17),1,32:14,4,16,.250,1,5,.200,3,3,1.000,0,5,5,6,0,0,2,2,12,5.3,-14
43,27,2024-01-22,31-305,DAL,,BOS,L (-9),1,35:50,9,20,.450,3,7,.429,2,2,1.000,0,6,6,3,2,0,1,3,23,16.3,0
44,,2024-01-24,31-307,DAL,,PHO,L (-23),,,,,,,,,,,,,,,,,,,,,,
45,,2024-01-26,31-309,DAL,@,ATL,W (+5),,,,,,,,,,,,,,,,,,,,,,
46,,2024-01-27,31-310,DAL,,SAC,L (-5),,,,,,,,,,,,,,,,,,,,,,
47,,2024-01-29,31-312,DAL,,ORL,W (+2),,,,,,,,,,,,,,,,,,,,,,
48,,2024-01-31,31-314,DAL,@,MIN,L (-34),,,,,,,,,,,,,,,,,,,,,,
49,,2024-02-03,31-317,DAL,,MIL,L (-12),,,,,,,,,,,,,,,,,,,,,,
