,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2023-24,21.0,CHO,NBA,SF,42,36,31.2,6.0,13.6,0.436,2.3,5.9,0.385,3.7,7.8,0.475,0.519,1.9,2.3,0.821,0.9,3.1,3.9,2.3,0.7,0.5,1.5,2.6,16.0
1,Career,,,NBA,,42,36,31.2,6.0,13.6,0.436,2.3,5.9,0.385,3.7,7.8,0.475,0.519,1.9,2.3,0.821,0.9,3.1,3.9,2.3,0.7,0.5,1.5,2.6,16.0
