,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2019-20,LAC,2.4,1.3,1.3,0.4,0.5,0.2,1.9,0.9,0.3,3.7,3.7,2.6,5.0
1,2020-21,LAC,7.0,1.6,3.6,1.2,1.4,0.6,5.2,2.7,0.4,8.6,10.6,5.2,12.2
2,2021-22,LAC,10.8,2.6,5.2,1.6,2.6,0.9,8.5,4.1,0.7,13.4,16.0,7.800000000000001,18.6
3,2022-23,LAC,8.8,2.3,3.4,1.1,2.4,1.0,6.5,3.4,0.5,11.100000000000001,12.200000000000001,5.699999999999999,14.5
4,2023-24,LAC,7.6,1.8,3.2,0.8,3.0,0.9,6.5,2.9,0.6,9.4,10.8,5.0,12.6
5,Career,,7.9,2.0,3.6,1.1,2.1,0.8,6.1,3.0,0.5,9.9,11.5,5.6,13.5
