,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2022-23,22.0,SAC,NBA,SF,80,78,29.8,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1.0,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,12.2
1,2023-24,23.0,SAC,NBA,SF,44,44,32.9,5.9,12.8,0.465,2.4,6.5,0.365,3.5,6.2,0.571,0.559,1.4,1.8,0.792,1.3,4.1,5.4,1.6,1.2,0.6,0.8,2.6,15.6
2,Career,,,NBA,,124,122,30.9,5.0,10.8,0.458,2.5,6.4,0.394,2.5,4.5,0.549,0.574,1.0,1.3,0.778,1.2,3.7,4.9,1.4,0.9,0.6,0.8,2.2,13.4
