,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1968-69,23.0,SDR,NBA,SF,22,,5.7,0.8,2.9,0.281,0.3,0.6,0.538,1.2,0.2,1.1,2.0
1,Career,,,NBA,,22,,5.7,0.8,2.9,0.281,0.3,0.6,0.538,1.2,0.2,1.1,2.0
