,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2019-20,GSW,8.8,2.4,2.1,1.7,4.6,1.3,8.8,2.9,0.6,11.200000000000001,10.9,4.5,13.3
1,2020-21,GSW,12.0,1.9,1.8,2.1,5.4,1.9,9.3,4.0,0.5,13.9,13.8,3.7,15.7
2,2021-22,GSW,18.5,4.0,3.4,3.2,7.6,2.8,13.9,6.2,0.8,22.5,21.9,7.4,25.9
3,2022-23,GSW,20.4,4.5,2.7,4.4,7.8,2.6,15.6,6.7,0.8,24.9,23.099999999999998,7.2,27.599999999999998
4,2023-24,WAS,16.5,3.4,2.2,2.7,6.3,2.0,14.3,5.9,1.0,19.9,18.7,5.6,22.1
5,Career,,15.9,3.4,2.6,3.0,6.6,2.2,12.7,5.3,0.7,19.3,18.5,6.0,21.9
6,,,,,,,,,,,,,,,
7,4 seasons,GSW,15.8,3.4,2.6,3.0,6.6,2.2,12.5,5.2,0.7,19.2,18.400000000000002,6.0,21.8
8,1 season,WAS,16.5,3.4,2.2,2.7,6.3,2.0,14.3,5.9,1.0,19.9,18.7,5.6,22.1
