,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
2,Trevelin Queen,2022,2024,G,6-6,190,"February 25, 1997","College of Marin, New Mexico Military Institute, New Mexico State",queentr01
3,Neemias Queta,2022,2024,C,7-0,245,"July 13, 1999",Utah State University,quetane01
5,Immanuel Quickley,2021,2024,G,6-3,190,"June 17, 1999",Kentucky,quickim01
8,Lester Quinones,2023,2024,G,6-5,208,"November 16, 2000",Memphis,quinole01
