,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
9,Joe Ingles,2015,2024,F-G,6-9,220,"October 2, 1987",,inglejo01
12,Brandon Ingram,2017,2024,F,6-8,190,"September 2, 1997",Duke,ingrabr01
17,Kyrie Irving,2012,2024,G,6-2,195,"March 23, 1992",Duke,irvinky01
18,Jonathan Isaac,2018,2024,F,6-10,230,"October 3, 1997",Florida State,isaacjo01
23,Jaden Ivey,2023,2024,G,6-4,195,"February 13, 2002",Purdue,iveyja01
