,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
16,Thaddeus Young,2008,2024,F,6-8,235,"June 21, 1988",Georgia Tech,youngth01
18,Trae Young,2019,2024,G,6-1,164,"September 19, 1998",Oklahoma,youngtr01
20,Omer Yurtseven,2022,2024,C,7-0,264,"June 19, 1998","NC State, Georgetown",yurtsom01
