,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
6,Tari Eason,2023,2024,F,6-8,216,"May 10, 2001","Cincinnati, LSU",easonta01
23,Anthony Edwards,2021,2024,G-F,6-4,225,"August 5, 2001",Georgia,edwaran01
33,Kessler Edwards,2022,2024,F,6-8,215,"August 9, 2000",Pepperdine,edwarke02
59,Keon Ellis,2023,2024,G,6-6,175,"January 8, 2000","Florida SouthWestern State College, Alabama",elliske01
69,Joel Embiid,2017,2024,C,7-0,280,"March 16, 1994",Kansas,embiijo01
92,Drew Eubanks,2019,2024,F,6-9,245,"February 1, 1997",Oregon State,eubandr01
107,Dante Exum,2015,2024,G,6-5,214,"July 13, 1995",,exumda01
