,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
2,Cody Zeller,2014,2024,C-F,6-11,240,"October 5, 1992",Indiana,zelleco01
18,Ivica Zubac,2017,2024,C,7-0,240,"March 18, 1997",,zubaciv01
