,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
20,Royce O'Neale,2018,2024,F,6-4,226,"June 5, 1993","Denver, Baylor",onealro01
39,Chuma Okeke,2021,2024,F,6-6,229,"August 18, 1998",Auburn,okekech01
41,Josh Okogie,2019,2024,G,6-4,213,"September 1, 1998",Georgia Tech,okogijo01
42,Onyeka Okongwu,2021,2024,F,6-8,235,"December 11, 2000",USC,okongon01
43,Isaac Okoro,2021,2024,G-F,6-5,225,"January 26, 2001",Auburn,okorois01
61,Kelly Olynyk,2014,2024,C-F,6-11,240,"April 19, 1991",Gonzaga,olynyke01
62,Eugene Omoruyi,2022,2024,F,6-7,244,"February 14, 1997","Rutgers University, Oregon",omorueu01
72,Cedi Osman,2018,2024,F,6-7,230,"April 8, 1995",,osmance01
79,Kelly Oubre Jr.,2016,2024,F,6-7,203,"December 9, 1995",Kansas,oubreke01
